coverage	seq-opt-baseline-blind-team0.img	seq-opt-baseline-sbd-team0.img	seq-opt-team2.img	seq-opt-team3.img	seq-opt-team5.img	seq-opt-team9.img	seq-opt-team10.img	seq-opt-team13.img	seq-opt-team17.img	seq-opt-team21.img	seq-opt-team22.img	seq-opt-team23.img	seq-opt-team24.img	seq-opt-team26.img	seq-opt-team27.img	seq-opt-team32.img	seq-opt-team40.img	seq-opt-team44.img
p01.pddl	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
p02.pddl	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
p03.pddl	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1
p04.pddl	1	0	1	0	0	1	0	0	0	1	1	1	0	1	1	1	1	1
p05.pddl	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
p06.pddl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p07.pddl	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
p08.pddl	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1
p09.pddl	1	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
p10.pddl	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1
p11.pddl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
p12.pddl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
p13.pddl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
p14.pddl	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1
p15.pddl	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
p16.pddl	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1
p17.pddl	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
p18.pddl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
p19.pddl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p20.pddl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
termes